EXP_6,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,EXP_13,EXP_14,Q-Value
925.5,1128.44,907.48,1233.42,942.72,1151.86,-536.32,921.04,1166.5
885.3,1160.38,1024.8,1375.96,864.82,1057.22,-532.3,1064.04,1191.6
986.5,1183.7,1190.24,1206.68,972.24,1031.46,-534.42,1053.22,1556.6
873.38,1437.64,1002.78,1323.14,1008.08,1246.04,-530.92,1077.1,1359.78
875.66,1376.5,940.16,1424.12,1282.88,839.3,-535.02,1007.7,1195.58
817.78,1512.92,961.92,1156.16,938.54,914.22,-535.14,843.76,1608.94
973.62,1264.32,1040.84,1055.26,830.5,1103.56,-535.76,810.3,1261.9
1122.24,1071.46,1197.52,1245.36,1216.54,1042.82,-537.3,1133.66,1170.52
1017.04,1262.86,947.68,1304.06,981.06,908.38,-536.24,1110.62,1147.5
1004.66,962.64,1094.38,1262.52,939.04,940.62,-541.58,1001.8,1336.1
1004.84,1355.9,1051.46,1277.5,926.18,944.06,-536.52,1142.24,1395.92
1128.12,1030.96,928.58,1444.84,976.74,939.04,-532.48,1070.34,1326.28
1022.42,1210.82,1163.0,1058.28,916.4,846.9,-531.36,957.02,1239.52
813.94,1372.96,1080.02,1353.46,1000.28,1062.82,-531.66,855.4,1375.48
1051.16,1369.68,987.3,1205.7,984.74,841.16,-533.44,787.14,1225.46
917.2,1235.06,922.06,1400.24,866.28,1058.22,-530.74,1119.62,1539.96
1059.94,1370.92,1350.72,1330.16,948.6,1041.6,-532.88,774.8,1483.54
859.18,1273.26,1113.02,1297.32,1083.6,1236.46,-534.42,1122.3,1444.8
1217.6,1529.1,1087.66,1216.48,1104.12,1128.42,-538.7,1150.56,1187.36
1108.68,1213.3,715.84,1377.96,980.34,1119.32,-532.32,897.0,1427.58
858.12,1118.52,994.12,936.54,849.8,1086.1,-532.24,1105.88,1513.98
1029.78,1199.52,1129.22,1381.42,1060.18,1151.7,-536.92,863.4,1413.98
1036.4,1401.48,1107.96,1311.14,1053.02,1063.86,-534.34,1113.12,1596.26
811.42,1171.62,1118.64,1273.46,872.86,1036.06,-535.16,1275.1,1292.7
893.36,1364.86,1150.78,1323.46,960.06,896.1,-533.84,1069.8,1141.9
1057.9,1395.6,1097.62,1116.94,1128.64,990.72,-536.78,928.0,1431.2
1096.58,1157.36,1150.5,1265.48,871.0,1025.1,-535.88,1044.36,1570.98
1123.92,963.5,1243.68,1260.3,1171.08,996.04,-540.52,971.96,1305.42
1018.96,1078.28,1005.44,1315.86,1138.6,1130.7,-534.54,1114.04,1423.74
1038.02,1122.32,1061.8,1324.14,1083.38,893.2,-532.84,1089.28,1394.66
1060.34,1401.32,942.72,1267.2,1158.02,1090.0,-534.08,1145.2,1344.12
